user_hash,is_generic_email,account_active,login_count,fail_login_count,days_since_signup,days_since_last_login,signup_hour,signup_day_of_week,signup_month,last_login_hour,last_login_day_of_week,has_first_name,has_last_name,profile_completeness,workspace_count,organization_count,role_count,is_admin,is_guest,has_avatar,mfa_enabled,login_frequency,churned
77d58aabb48b4438431d3765b9a644e1,0,1,16,0,864.66,8.83,10,1,8,2,5,1,1,2,1,1,4,1,0,1,0,0.0185,0
aacb980be5143d8c573b13ea26b135ee,0,1,5,0,31.21,9.03,16,1,12,21,4,1,1,2,1,1,4,1,0,1,0,0.1602,0
ccfa28885a1ba7a6afd68fbaa4a60054,0,1,8,0,253.88,9.25,19,2,4,16,4,1,1,2,32,1,96,1,0,1,0,0.0315,0
9c5836ca6ab155c7a9c477146f35aa5b,0,1,4,0,827.09,9.28,13,3,10,15,4,1,1,2,1,1,6,1,0,1,0,0.0048,0
85e8cef0f30161744870f0e6f1a06338,0,1,114,0,675.16,9.29,11,1,3,15,4,1,1,2,1,1,3,1,0,1,0,0.1688,0
d74307f3b725a5a4ff82dfa718f72ca4,0,1,5,0,429.31,9.38,5,2,11,12,4,1,1,2,1,1,3,1,0,1,0,0.0116,0
2cf470cce92a484b5ee8f63138d1e804,0,1,73,0,622.10,9.54,6,5,4,9,4,0,0,0,1,1,3,0,0,1,0,0.1173,0
40a6fb73eb568ddbe2d4a89987c21f14,0,1,6,0,486.14,9.66,2,1,9,6,4,1,1,2,1,1,3,1,0,1,0,0.0123,0
72d348571aa8dd18b3000749ec39b659,0,1,8,0,169.05,9.76,2,3,7,3,4,1,1,2,2,2,9,1,0,1,0,0.0473,0
88378b7756cfa0a3c0da7521c44a96cc,0,1,3,0,153.53,9.77,14,4,8,3,4,1,1,2,2,2,9,1,0,1,0,0.0195,0
c725ce62fe0dde18581ab78eb025e8bd,0,1,34,0,428.59,10.36,23,1,11,13,3,1,1,2,1,1,3,1,0,1,0,0.0793,0
6bff1e34b8355c5d97f8c15fb7f16e57,0,1,28,0,863.10,10.39,10,1,8,12,3,0,0,0,1,1,4,0,0,1,0,0.0324,0
3f0742e38120fb9e9452470cca05e259,0,1,42,0,363.91,10.46,13,3,1,11,3,1,1,2,1,1,3,1,0,1,0,0.1154,0
e49d20fbbaa4a2a64bf7b5b5d11e92c0,0,1,7,0,665.92,10.54,11,2,3,9,3,1,1,2,1,1,3,1,0,1,0,0.0105,0
ead18533a535ab4042a40d05fc3da027,0,1,3,0,29.63,10.64,15,1,12,6,3,1,1,2,1,1,3,1,0,1,0,0.1012,0
86c48594c544797302c893011cd5582e,0,1,1,0,29.55,10.73,15,1,12,4,3,1,1,2,1,1,3,1,0,1,0,0.0338,0
0163a658d9864fc2e483473480a63d79,0,1,33,0,712.02,11.05,20,4,1,21,2,1,1,2,1,1,3,1,0,1,0,0.0463,0
68baafa21767261fcdbcc01ada1cc9b0,0,1,12,0,862.33,11.16,10,1,8,18,2,0,0,0,1,1,4,0,0,1,0,0.0139,0
084a4c0a5ba31e842a4088cac577ef6b,0,1,11,0,43.03,11.26,15,1,11,15,2,1,1,2,2,2,10,1,0,1,0,0.2556,0
501731cc72019605f4135afd53056212,0,1,19,0,383.18,11.34,9,4,12,14,2,1,1,2,1,1,4,1,0,1,0,0.0496,0
25933e2ad62cb209e09998d4ca08e724,0,1,17,0,862.02,11.48,10,1,8,10,2,1,1,2,1,1,5,0,0,1,0,0.0197,0
74f6aad5b26766a3ef7613d60b701a07,0,1,24,0,862.01,11.48,10,1,8,10,2,1,1,2,1,1,4,0,0,1,0,0.0278,0
225d3de58e8f460ec25179ca3cd7b6af,0,1,2,0,861.98,11.51,10,1,8,9,2,1,1,2,1,1,4,1,0,1,0,0.0023,0
e7e8261aa02107f396394ac5dc21da33,0,1,4,0,861.88,11.61,10,1,8,7,2,1,1,2,1,1,4,1,0,1,0,0.0046,0
b6e37712a5e63f26514f0d864ea7bd44,0,1,18,0,861.53,11.97,10,1,8,22,1,1,1,2,1,1,4,1,0,1,0,0.0209,0
7ff0e1c0ac35174c81f70633d0f237b4,0,1,7,0,431.08,11.97,21,4,10,22,1,0,0,0,1,1,3,0,0,1,0,0.0162,0
9878953060fa06c618b1d109b5fa56cc,0,1,5,0,861.24,12.26,10,1,8,15,1,1,1,2,1,1,4,1,0,1,0,0.0058,0
ba5d8b35895c1e8df1aaf7ac1d527bac,0,1,12,0,616.30,12.29,8,1,4,15,1,0,0,0,1,1,3,0,0,1,0,0.0195,0
bfe4c3cba857229c71cb3ecdcbaee576,0,1,4,0,861.16,12.33,10,1,8,14,1,1,1,2,1,1,4,1,0,1,0,0.0046,0
502efef45f9a821f67f4107f6086adf4,0,1,5,0,861.15,12.34,10,1,8,13,1,1,1,2,1,1,4,1,0,1,0,0.0058,0
a1315b97ad30d05425e8524ec481127a,0,1,22,0,886.84,12.40,16,3,8,12,1,1,1,2,1,1,4,1,0,1,0,0.0248,0
1a8a2630cbc59ece59d083422d5a0ec7,0,1,8,0,860.97,12.53,10,1,8,9,1,1,1,2,1,1,4,1,0,0,0,0.0093,0
795fc83544ed4c7faa0c8403c3ca1f90,0,1,53,0,395.95,12.55,10,4,12,9,1,1,1,2,1,1,6,1,0,1,0,0.1339,0
61091124ff1ba08ffef90430de8b9434,0,1,10,0,860.91,12.59,10,1,8,8,1,1,1,2,1,1,4,1,0,1,0,0.0116,0
a2070d1b1d56e35436f08792cb1ce7bf,0,1,32,0,860.76,12.73,10,1,8,4,1,1,1,2,2,2,7,1,0,1,0,0.0372,0
ba53338df14d01bc126945f07fef8cf4,0,1,15,0,529.46,12.80,15,3,7,2,1,1,1,2,2,2,9,1,0,1,0,0.0283,0
2e4f7227806b8a1d0b4354d182e6844b,0,1,8,0,179.72,12.82,9,3,7,2,1,1,1,2,1,1,3,1,0,1,0,0.0445,0
8c8234117079770cfabb08235874d5fb,0,1,148,0,681.21,12.82,21,5,2,2,1,1,1,2,1,1,3,1,0,1,0,0.2173,0
255ee35244259d760a81cad3006cb96e,0,1,11,0,860.31,13.18,10,1,8,17,0,1,1,2,1,1,4,1,0,1,0,0.0128,0
2a35783886fa3b679aeaea0885ca7786,0,1,1,0,25.19,15.04,16,1,12,21,5,1,1,2,1,1,3,1,0,1,0,0.0397,0
b6959dd15da8d36c9d29a4d18ca50f84,0,1,21,0,730.35,15.24,7,3,1,16,5,1,1,2,1,1,6,1,0,1,0,0.0288,0
29d50d695324ead340069a116a4cf00b,0,1,18,0,463.94,15.51,11,3,9,9,5,1,1,2,2,2,9,1,0,1,0,0.0388,0
7969e1d8ed2a172904452234a309c905,0,1,81,0,671.95,15.56,9,5,3,8,5,1,1,2,1,1,4,1,0,1,0,0.1205,0
f58bbb95a42f201ab451324e8b36fc5f,0,1,27,0,491.85,15.78,6,3,8,3,5,1,1,2,1,1,3,1,0,1,0,0.0549,0
fd551e268a78a4a01a3a47e7608c4db9,0,1,4,0,857.17,16.33,10,1,8,14,4,1,1,2,1,1,4,1,0,1,0,0.0047,0
84228e163057dfad349d4a3528142c91,0,1,112,0,182.97,17.29,15,2,7,15,3,0,0,0,1,1,3,0,0,1,0,0.6121,0
dbf3eee13e2e26d160210aa4ab196017,0,1,2,0,856.01,17.49,10,1,8,10,3,1,1,2,1,1,4,0,0,1,0,0.0023,0
b315946cfd6995db74174ba3cc5825fa,0,1,3,0,69.92,17.63,8,3,10,6,3,1,1,2,1,1,3,1,0,1,0,0.0429,0
c057afc75252d45860dff2036d0dd111,0,1,1,0,855.49,18.01,10,1,8,21,2,0,0,0,1,1,4,0,0,1,0,0.0012,0
43e4cc6e191bf827cd47f6c20b93413a,0,1,3,0,498.20,18.08,15,1,8,20,2,1,1,2,2,2,9,1,0,1,0,0.0060,0
1dd16f4b2bbd43c778584d9e6ad44231,0,1,3,0,125.14,18.30,11,3,8,14,2,0,0,0,1,1,3,0,0,1,0,0.0240,0
a68ddf5951b786ae70ef934a5bd2ff95,0,1,29,0,631.20,18.33,9,1,4,14,2,1,1,2,1,1,3,1,0,1,0,0.0459,0
533a33d79834b866b1e5f76245b02ef0,0,1,114,0,1700.95,18.48,11,2,5,10,2,1,1,2,4,4,16,1,0,1,1,0.0670,0
4800e4bcf7d75c29919a8a5e00f9aa32,0,1,4,0,21.70,18.54,16,1,12,9,2,1,1,2,1,1,3,1,0,1,0,0.1843,0
5283d089cfa0b01ecdb9a406fb519e36,0,1,55,0,685.19,18.95,18,2,2,23,1,1,1,2,1,1,6,1,0,1,0,0.0803,0
2b0eeb4389b78a870ff74e44f21c9e70,0,1,50,0,854.51,18.98,10,1,8,22,1,1,1,2,1,1,4,1,0,1,0,0.0585,0
94e68626fbc7cecf95633fb32bf577f2,0,1,1,0,854.47,19.02,10,1,8,21,1,1,1,2,1,1,4,1,0,1,0,0.0012,0
68b37578bd3adab008fe8bee7e3a8d52,0,1,30,0,741.97,19.22,17,1,12,16,1,0,0,0,1,1,3,0,0,1,0,0.0404,0
22bbeebe532c01bc84ec8ee9703500fe,0,1,8,0,75.81,19.28,19,2,10,15,1,0,0,0,1,1,3,0,0,1,0,0.1055,0
